Year;LV
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1965;UR-500
1965;Kosmos 11K63
1966;Thor Delta E
1965;Atlas SLV-3 Agena D
1965;Atlas SLV-3 Agena D
1965;Atlas SLV-3 Agena D
1965;Molniya 8K78
1965;Molniya 8K78
1965;Molniya 8K78
1965;Scout X-4
1965;Molniya 8K78
1965;Kosmos 11K63
1966;Diamant A
1965;Vostok 8A92
1965;Thor SLV-2 Agena B
1965;Thor SLV-2 Agena B
1966;Molniya 8K78
1966;Molniya 8K78
1966;Titan II GLV
1966;Scout X-4
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1965;Vostok 8A92
1966;Titan II GLV
1965;Thor Delta E
1965;Vostok 8A92M
1965;Kosmos 63S1
1966;Titan IIIC
1966;Titan IIIC
1966;Titan IIIC
1966;Titan IIIC
1966;Titan IIIC
1965;Scout A
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Vostok-2A 11A510
1965;Kosmos 63S1
1965;Kosmos 65S3
1966;Thor Burner 1
1966;Vostok 8A92
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Vostok 8A92
1966;Kosmos 11K63
1966;Scout A
1966;Molniya 8K78M
1966;Molniya 8K78M
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Thor Delta C
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Vostok 8A92
1966;Kosmos 63S1
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Diamant A
1966;Voskhod 11A57
1966;Kosmos 63S1
1966;Voskhod 11A57
1966;Thor Delta E
1966;Molniya 8K78M
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Atlas SLV-3 Agena D
1966;Titan II GLV
1966;Vostok 8A92
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Voskhod 11A57
1966;UR-500
1966;Scout A
1966;Molniya 8K78
1966;Atlas D
1966;Atlas D
1966;Thor Burner 1
1966;Molniya 8K78M
1966;Voskhod 11A57
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Atlas Centaur D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Vostok 8A92
1966;Scout B
1966;Molniya 8K78
1966;Kosmos 11K63
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Vostok 8A92
1966;Vostok 8A92M
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Thor SLV-2A Agena B
1966;Voskhod 11A57
1966;Atlas SLV-3 Agena D
1966;Scout A
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Kosmos 11K63
1966;Thor Delta C1
1966;Atlas Centaur D
1966;Atlas SLV-3
1966;Titan II GLV
1966;Titan II GLV
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena B
1966;Voskhod 11A57
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Scout B
1966;Titan IIIC
1966;Titan IIIC
1966;Titan IIIC
1966;Titan IIIC
1966;Titan IIIC
1966;Titan IIIC
1966;Titan IIIC
1966;Titan IIIC
1966;Voskhod 11A57
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Thor SLV-2A Agena D
1966;Vostok 8A92M
1966;Thor Delta E1
1966;Uprated Saturn I
1966;UR-500
1966;Kosmos 63S1
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas D
1966;Atlas D
1966;Voskhod 11A57
1966;Atlas SLV-3 Agena D
1966;Titan II GLV
1966;Vostok-2A 11A510
1966;Voskhod 11A57
1966;Titan IIIB
1966;Titan IIIB
1966;Scout B
1966;Voskhod 11A57
1966;Thorad SLV-2G Agena D
1966;Thorad SLV-2G Agena D
1966;Thorad SLV-2G Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Thor Delta E1
1966;Scout A
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Atlas SLV-3 Agena D
1966;Molniya 8K78M
1966;Titan IIIC
1966;Titan IIIC
1966;Titan IIIC
1966;Titan IIIC
